I_SECURITY,I_COMPANY,I_MARKET,I_INDUSTRY,I_SECTOR,I_SUBSECTOR,I_SEC_TYPE,N_SECURITY,N_SECURITY_T,N_SECURITY_E,I_SECURITY_LOCAL,I_ISIN,I_NATIVE
5029,639,A,8,8,0,F,CCET-F              ,,,2071,TH0639010Z13  ,F
5030,783,A,4,34,0,S,AMC                 ,,,5030,TH0783010000  ,L
5031,783,A,4,34,0,F,AMC-F               ,,,5030,TH0783010018  ,F
5032,783,A,4,34,0,S,AMC-R               ,,,5030,TH0783010R19  ,R
5033,784,A,2,15,0,S,L&E                 ,,,5033,TH0784010Z09  ,L
5034,784,A,2,15,0,F,L&E-F               ,,,5033,TH0784010Z17  ,F
5035,784,A,2,15,0,S,L&E-R               ,,,5033,TH0784010R17  ,R
5036,655,C,0,0,0,G,CB05804A            ,,,5036,TH065507F882  ,L
5037,655,C,0,0,0,G,CB05804A%           ,,,5036,TH065507F890  ,F
5038,655,C,0,0,0,G,CB05811A            ,,,5038,TH0655A7F882  ,L
5039,655,C,0,0,0,G,CB05811A%           ,,,5038,TH0655A7F890  ,F
5040,655,C,0,0,0,G,CB05818A            ,,,5040,TH0655B7F881  ,L
5041,655,C,0,0,0,G,CB05818A%           ,,,5040,TH0655B7F899  ,F
5042,655,C,0,0,0,G,CB05825A            ,,,5042,TH0655C7F880  ,L
5043,655,C,0,0,0,G,CB05825A%           ,,,5042,TH0655C7F898  ,F
5044,655,C,0,0,0,G,CB05901A            ,,,5044,TH065507F981  ,L
5045,655,C,0,0,0,G,CB05901A%           ,,,5044,TH065507F999  ,F
5046,656,C,0,0,0,G,FIDF058A            ,,,5046,TH065607F880  ,L
5047,656,C,0,0,0,G,FIDF058A%           ,,,5046,TH065607F898  ,F
5048,656,C,0,0,0,G,FIDF058B            ,,,5048,TH0656A7F881  ,L
5049,656,C,0,0,0,G,FIDF058B%           ,,,5048,TH0656A7F899  ,F
5050,656,C,0,0,0,G,FIDF058C            ,,,5050,TH0656B7F880  ,L
5051,656,C,0,0,0,G,FIDF058C%           ,,,5050,TH0656B7F898  ,F
5052,656,C,0,0,0,G,FIDF058D            ,,,5052,TH0656C7F889  ,L
5053,656,C,0,0,0,G,FIDF058D%           ,,,5052,TH0656C7F897  ,F
5054,656,C,0,0,0,G,FIDF058E            ,,,5054,TH0656D7F888  ,L
5055,656,C,0,0,0,G,FIDF058E%           ,,,5054,TH0656D7F896  ,F
5056,785,A,3,11,0,S,ML                  ,,,5056,TH0785A10Z04  ,L
5057,785,A,3,11,0,F,ML-F                ,,,5056,TH0785A10Z12  ,F
5058,785,A,3,11,0,S,ML-R                ,,,5056,TH0785010R14  ,R
5059,623,B,0,11,2,G,LB108A              ,æ—π∏∫—µ√√—∞∫“≈ 47/04/6Y,TLOAN47/04/6Y,5059,TH062303K806  ,L
5060,623,B,0,11,2,G,LB108A%             ,æ—π∏∫—µ√√—∞∫“≈ 47/04/6Y,TLOAN47/04/6Y,5059,TH062303K822  ,F
5061,623,B,0,11,2,G,LB198A              ,æ—π∏∫—µ√√—∞∫“≈ 47/05/15Y,TLOAN47/05/15Y,5061,TH062303T807  ,L
5062,623,B,0,11,2,G,LB198A%             ,æ—π∏∫—µ√√—∞∫“≈ 47/05/15Y,TLOAN47/05/15Y,5061,TH062303T823  ,F
5063,787,S,58,66,0,S,AF                  ,,,5063,TH0787010Z02  ,L
5064,787,S,58,66,0,F,AF-F                ,,,5063,TH0787010Z10  ,F
5065,787,S,58,66,0,S,AF-R                ,,,5063,TH0787010R10  ,R
5066,329, ,0,0,0,C,U@A                 ,,,5066,              ,L
5067,711,S,0,0,0,W,IRCP-W1             ,ºŸÈ∂◊ÕÀÿÈπ‡¥‘¡,Existing Shareholders,5067,TH071105K309  ,L
5068,789,A,1,12,0,S,OISHI               ,,,5068,TH0789010004  ,L
5069,789,A,1,12,0,F,OISHI-F             ,,,5068,TH0789010012  ,F
5070,789,A,1,12,0,S,OISHI-R             ,,,5068,TH0789010R16  ,R
5071,785, ,0,0,0,W,ML-WA               ,°√√¡°“√·≈–æπ—°ß“π¢Õß∫√‘…—∑œ,ESOP,5071,TH078505J800  ,L
5074,648,B,0,12,0,G,EGAT078A            ,æ—π∏∫—µ√ æ.». 2547 §√—Èß∑’Ë 1,EGAT47/01/3Y,5074,TH064803H809  ,L
